State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Punjab,Hoshiarpur,Mukerian,Carrot,Carrot,FAQ,14/04/2024,1000,1400,1200
Punjab,Hoshiarpur,Mukerian,"Field Pea","Field Pea",FAQ,14/04/2024,3500,5000,4500
Punjab,Hoshiarpur,Mukerian,Lemon,Other,FAQ,14/04/2024,6500,8500,7500
Punjab,Hoshiarpur,Mukerian,Onion,Onion,FAQ,14/04/2024,1800,2200,2000
Punjab,Jalandhar,Shahkot,Cabbage,Other,FAQ,14/04/2024,500,700,600
Punjab,kapurthala,Bhulath,"Bitter gourd","Bitter Gourd",FAQ,14/04/2024,3600,4000,3600
Punjab,kapurthala,"Bhulath (Nadala)","Bitter gourd","Bitter Gourd",FAQ,14/04/2024,3600,4000,3600
Punjab,kapurthala,"Bhulath (Nadala)",Cauliflower,Cauliflower,FAQ,14/04/2024,600,700,600
Punjab,kapurthala,"Bhulath (Nadala)",Cucumbar(Kheera),Cucumbar,FAQ,14/04/2024,1400,1500,1400
Punjab,Mansa,Mansa,Banana,"Banana - Ripe",Medium,14/04/2024,1400,1800,1600
Punjab,Mansa,Mansa,"Bhindi(Ladies Finger)",Bhindi,FAQ,14/04/2024,5000,7000,6000
Punjab,Mansa,Mansa,Brinjal,Brinjal,FAQ,14/04/2024,1500,2500,2000
Punjab,Mansa,Mansa,Cauliflower,Cauliflower,FAQ,14/04/2024,400,600,500
Punjab,Mansa,Mansa,Garlic,Garlic,FAQ,14/04/2024,8000,12000,11000
Punjab,Mansa,Mansa,Orange,Orange,Medium,14/04/2024,8100,12000,9000
Punjab,Mansa,Mansa,Potato,Potato,FAQ,14/04/2024,1000,1200,1100
Punjab,Mansa,Mansa,Tomato,Tomato,FAQ,14/04/2024,1800,2200,2000
Punjab,Nawanshahr,Banga,"Bitter gourd",Other,FAQ,14/04/2024,3779,5080,4200
Punjab,Sangrur,Ahmedgarh,Banana,Other,Large,14/04/2024,3000,3200,3200
Punjab,Sangrur,Ahmedgarh,Potato,Other,FAQ,14/04/2024,1200,1300,1300
Punjab,Sangrur,Bhawanigarh,Wheat,Other,FAQ,14/04/2024,2275,2275,2275
Punjab,Sangrur,Malerkotla,Carrot,Carrot,FAQ,14/04/2024,500,1000,800
Punjab,Sangrur,Malerkotla,Cauliflower,Other,FAQ,14/04/2024,500,600,500
Punjab,Sangrur,Malerkotla,Chikoos(Sapota),Other,Large,14/04/2024,2500,4000,3000
Punjab,Sangrur,Malerkotla,Raddish,Other,FAQ,14/04/2024,1200,1500,1200
Punjab,Sangrur,Malerkotla,"Squash(Chappal Kadoo)",Other,FAQ,14/04/2024,800,1000,800
Punjab,Tarntaran,Bhikhiwind,Spinach,Other,FAQ,14/04/2024,700,700,700
Punjab,Tarntaran,"Naushera Pannuan",Pumpkin,Other,FAQ,14/04/2024,1300,1500,1400
Punjab,Tarntaran,Patti,Garlic,Other,FAQ,14/04/2024,6000,7000,6500
Punjab,Tarntaran,Patti,Ginger(Dry),Other,FAQ,14/04/2024,10000,14000,12000
Punjab,Tarntaran,Patti,Pumpkin,Other,FAQ,14/04/2024,1500,1800,1600
Rajasthan,Tonk,Malpura,"Cummin Seed(Jeera)",Other,FAQ,14/04/2024,15200,22510,19000
Rajasthan,Tonk,Malpura,Soanf,Other,FAQ,14/04/2024,5700,7551,6800
"Tamil Nadu",Coimbatore,Madathukulam,Coconut,Coconut,FAQ,14/04/2024,2500,2850,2700
Telangana,Khammam,Sattupalli,Maize,Hybrid,FAQ,14/04/2024,2000,2117,2100
Telangana,Mahbubnagar,Kalwakurthy,Cabbage,Cabbage,FAQ,14/04/2024,2500,2500,2500
Telangana,Nalgonda,Ramannapet,Paddy(Dhan)(Common),1001,FAQ,14/04/2024,2203,2203,2203
